model,horizon_min,mae_c,rmse_c,count,inference_s,scenario,heldout_distribution_shift
recurrent,60,22.937416076660156,23.080591201782227,8508,0.19673969999712426,hot_ambient,True
recurrent,5,24.61307716369629,24.679161071777344,312,0.19673969999712426,normal,False
recurrent,10,23.686431884765625,23.756418228149414,312,0.19673969999712426,normal,False
recurrent,15,24.385669708251953,24.454736709594727,312,0.19673969999712426,normal,False
recurrent,30,23.295610427856445,23.371519088745117,312,0.19673969999712426,normal,False
recurrent,60,23.66377067565918,23.74152374267578,312,0.19673969999712426,normal,False
recurrent,5,25.295551300048828,25.73825454711914,8508,0.19673969999712426,skewed,True
recurrent,10,24.375614166259766,24.82912254333496,8508,0.19673969999712426,skewed,True
recurrent,15,25.10682487487793,25.542858123779297,8508,0.19673969999712426,skewed,True
recurrent,30,24.202299118041992,24.64301300048828,8508,0.19673969999712426,skewed,True
recurrent,60,25.219348907470703,25.626630783081055,8508,0.19673969999712426,skewed,True
hybrid,5,0.7278435826301575,0.7357100248336792,312,0.003241300000809133,burst,False
hybrid,10,1.6635488271713257,1.6870933771133423,312,0.003241300000809133,burst,False
hybrid,15,2.848841428756714,2.904629707336426,312,0.003241300000809133,burst,False
hybrid,30,5.838735103607178,5.940019130706787,312,0.003241300000809133,burst,False
hybrid,60,4.7871270179748535,4.87719202041626,312,0.003241300000809133,burst,False
hybrid,5,0.6919171214103699,0.6996789574623108,312,0.003241300000809133,cooling_degradation,False
hybrid,10,1.5214651823043823,1.5288565158843994,312,0.003241300000809133,cooling_degradation,False
hybrid,15,2.463613748550415,2.472078800201416,312,0.003241300000809133,cooling_degradation,False
hybrid,30,4.198915958404541,4.219060897827148,312,0.003241300000809133,cooling_degradation,False
hybrid,60,8.233696937561035,8.276446342468262,312,0.003241300000809133,cooling_degradation,False
hybrid,5,0.2550634443759918,0.3416942358016968,8508,0.003241300000809133,hot_ambient,True
hybrid,10,0.5313903093338013,0.7269590497016907,8508,0.003241300000809133,hot_ambient,True
hybrid,15,0.8406805992126465,1.1589010953903198,8508,0.003241300000809133,hot_ambient,True
hybrid,30,1.3860266208648682,1.866672396659851,8508,0.003241300000809133,hot_ambient,True
hybrid,60,4.582437992095947,5.4050822257995605,8508,0.003241300000809133,hot_ambient,True
hybrid,5,0.741836667060852,0.7478200197219849,312,0.003241300000809133,normal,False
hybrid,10,1.595544457435608,1.6006535291671753,312,0.003241300000809133,normal,False
hybrid,15,2.5360193252563477,2.5412116050720215,312,0.003241300000809133,normal,False
hybrid,30,4.113213062286377,4.1203389167785645,312,0.003241300000809133,normal,False
hybrid,60,8.746830940246582,8.754502296447754,312,0.003241300000809133,normal,False
hybrid,5,0.2879786193370819,0.37988048791885376,8508,0.003241300000809133,skewed,True
hybrid,10,0.6115592122077942,0.8166980743408203,8508,0.003241300000809133,skewed,True
hybrid,15,0.9914693236351013,1.3203949928283691,8508,0.003241300000809133,skewed,True
hybrid,30,1.7834763526916504,2.3194289207458496,8508,0.003241300000809133,skewed,True
hybrid,60,3.588701009750366,4.403927326202393,8508,0.003241300000809133,skewed,True
