model,horizon_min,mae_c,rmse_c,count,inference_s,rack_id
gradient_boosting,60,1.5191342469718956,1.9266497080397473,1496,0.02830730000277981,10
gradient_boosting,5,0.5198198652348801,0.801678715724603,1496,0.02830730000277981,11
gradient_boosting,10,0.8367117759198572,1.1048802207033477,1496,0.02830730000277981,11
gradient_boosting,15,1.1108765296778362,1.413653934697334,1496,0.02830730000277981,11
gradient_boosting,30,1.5493247997369688,1.926376684050179,1496,0.02830730000277981,11
gradient_boosting,60,1.514351520602476,1.8748377092127657,1496,0.02830730000277981,11
recurrent,5,28.490554809570312,28.727886199951172,1496,0.19673969999712426,0
recurrent,10,27.58820915222168,27.82407569885254,1496,0.19673969999712426,0
recurrent,15,28.321365356445312,28.543865203857422,1496,0.19673969999712426,0
recurrent,30,27.441129684448242,27.65424156188965,1496,0.19673969999712426,0
recurrent,60,28.410791397094727,28.605365753173828,1496,0.19673969999712426,0
recurrent,5,28.442790985107422,28.684925079345703,1496,0.19673969999712426,1
recurrent,10,27.534765243530273,27.776214599609375,1496,0.19673969999712426,1
recurrent,15,28.26353645324707,28.491945266723633,1496,0.19673969999712426,1
recurrent,30,27.37285804748535,27.59269905090332,1496,0.19673969999712426,1
recurrent,60,28.31494140625,28.519798278808594,1496,0.19673969999712426,1
recurrent,5,28.31499671936035,28.57265281677246,1496,0.19673969999712426,2
recurrent,10,27.401779174804688,27.660438537597656,1496,0.19673969999712426,2
recurrent,15,28.124984741210938,28.371456146240234,1496,0.19673969999712426,2
recurrent,30,27.227502822875977,27.468605041503906,1496,0.19673969999712426,2
recurrent,60,28.169286727905273,28.394773483276367,1496,0.19673969999712426,2
recurrent,5,28.27784538269043,28.54073143005371,1496,0.19673969999712426,3
recurrent,10,27.3654842376709,27.629114151000977,1496,0.19673969999712426,3
recurrent,15,28.089191436767578,28.34020233154297,1496,0.19673969999712426,3
recurrent,30,27.191722869873047,27.437028884887695,1496,0.19673969999712426,3
recurrent,60,28.132762908935547,28.36306381225586,1496,0.19673969999712426,3
recurrent,5,22.73811149597168,22.816137313842773,1496,0.19673969999712426,4
recurrent,10,21.799772262573242,21.878881454467773,1496,0.19673969999712426,4
recurrent,15,22.513797760009766,22.58921241760254,1496,0.19673969999712426,4
recurrent,30,21.59017562866211,21.669776916503906,1496,0.19673969999712426,4
recurrent,60,22.575851440429688,22.65903091430664,1496,0.19673969999712426,4
recurrent,5,22.664501190185547,22.739397048950195,1496,0.19673969999712426,5
recurrent,10,21.727834701538086,21.803478240966797,1496,0.19673969999712426,5
recurrent,15,22.44426727294922,22.51629638671875,1496,0.19673969999712426,5
recurrent,30,21.537199020385742,21.614356994628906,1496,0.19673969999712426,5
recurrent,60,22.579513549804688,22.662616729736328,1496,0.19673969999712426,5
recurrent,5,22.697391510009766,22.77444839477539,1496,0.19673969999712426,6
recurrent,10,21.7659854888916,21.84395980834961,1496,0.19673969999712426,6
recurrent,15,22.48719596862793,22.561555862426758,1496,0.19673969999712426,6
recurrent,30,21.59682273864746,21.675777435302734,1496,0.19673969999712426,6
recurrent,60,22.656518936157227,22.742176055908203,1496,0.19673969999712426,6
recurrent,5,22.694599151611328,22.777006149291992,1496,0.19673969999712426,7
recurrent,10,21.76984214782715,21.853389739990234,1496,0.19673969999712426,7
recurrent,15,22.496902465820312,22.576377868652344,1496,0.19673969999712426,7
recurrent,30,21.61964225769043,21.70252227783203,1496,0.19673969999712426,7
recurrent,60,22.69940757751465,22.784406661987305,1496,0.19673969999712426,7
recurrent,5,21.64352035522461,21.708494186401367,1496,0.19673969999712426,8
recurrent,10,20.71174430847168,20.779396057128906,1496,0.19673969999712426,8
recurrent,15,21.422189712524414,21.488786697387695,1496,0.19673969999712426,8
recurrent,30,20.54999542236328,20.629108428955078,1496,0.19673969999712426,8
recurrent,60,21.534622192382812,21.635543823242188,1496,0.19673969999712426,8
recurrent,5,21.75735855102539,21.827774047851562,1496,0.19673969999712426,9
recurrent,10,20.824087142944336,20.8964900970459,1496,0.19673969999712426,9
recurrent,15,21.53291130065918,21.60337257385254,1496,0.19673969999712426,9
recurrent,30,20.662450790405273,20.74403190612793,1496,0.19673969999712426,9
recurrent,60,21.636598587036133,21.738306045532227,1496,0.19673969999712426,9
recurrent,5,21.853057861328125,21.924427032470703,1496,0.19673969999712426,10
recurrent,10,20.91947364807129,20.992412567138672,1496,0.19673969999712426,10
recurrent,15,21.62754249572754,21.698081970214844,1496,0.19673969999712426,10
recurrent,30,20.752300262451172,20.83261489868164,1496,0.19673969999712426,10
recurrent,60,21.691587448120117,21.785762786865234,1496,0.19673969999712426,10
recurrent,5,21.8582763671875,21.922508239746094,1496,0.19673969999712426,11
recurrent,10,20.919668197631836,20.985382080078125,1496,0.19673969999712426,11
recurrent,15,21.620296478271484,21.683876037597656,1496,0.19673969999712426,11
recurrent,30,20.728330612182617,20.801889419555664,1496,0.19673969999712426,11
